0;position;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.02;position;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.3533334;position;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.5043144;position;(0.0, 0.0, 0.0);(0.2, 0.1, -0.2)
0.8376478;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.011622;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.049878;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.085852;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.117491;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.141425;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.167709;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.194885;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.210128;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.223081;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.234686;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.244962;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.256048;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.271389;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.283152;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.294061;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.306706;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.319515;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.332851;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.3448;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.356488;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.369402;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.382157;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.394389;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.406967;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.420028;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.433131;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.444211;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.457082;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.47315;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.483889;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.495054;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.508054;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.522427;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.533329;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.544073;position;(0.3, 0.1, 0.4);(0.1, 0.1, 0.2)
1.557012;position;(0.3, 0.1, 0.4);(0.1, 0.1, 0.2)
1.570545;position;(0.3, 0.1, 0.4);(0.1, 0.1, 0.2)
1.583156;position;(0.3, 0.1, 0.4);(0.1, 0.2, 0.2)
1.594747;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.607013;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.61992;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.633038;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.645268;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.657642;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.671988;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.682965;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.695588;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.707916;position;(0.3, 0.2, 0.4);(0.1, 0.2, 0.2)
1.721566;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.7337;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.747308;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.759827;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.774022;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.795071;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.811435;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.827969;position;(0.3, 0.2, 0.4);(0.1, 0.1, 0.2)
1.894629;position;(0.3, 0.1, 0.4);(0.1, 0.1, 0.2)
1.926109;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
1.950165;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
1.990654;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
2.029746;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
2.044899;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
2.069006;position;(0.3, 0.1, 0.3);(0.1, 0.1, 0.2)
2.094424;position;(0.3, 0.1, 0.3);(0.1, 0.2, 0.2)
2.108873;position;(0.2, 0.1, 0.3);(0.1, 0.2, 0.2)
2.125577;position;(0.2, 0.1, 0.3);(0.1, 0.2, 0.2)
2.13876;position;(0.2, 0.1, 0.3);(0.1, 0.2, 0.2)
2.15201;position;(0.2, 0.1, 0.3);(0.1, 0.2, 0.2)
2.165273;position;(0.2, 0.1, 0.3);(0.1, 0.2, 0.2)
2.178168;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.191399;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.20532;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.220383;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.236588;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.248082;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.26147;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.273934;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.285888;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.29647;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.344011;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.362922;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.378418;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.402441;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.430775;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.454063;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.476745;position;(0.2, 0.1, 0.3);(0.0, 0.2, 0.2)
2.487753;position;(0.2, 0.1, 0.3);(0.0, 0.3, 0.2)
2.504166;position;(0.2, 0.1, 0.3);(0.0, 0.3, 0.2)
2.518214;position;(0.2, 0.1, 0.3);(0.0, 0.3, 0.2)
2.530948;position;(0.2, 0.1, 0.3);(0.0, 0.3, 0.2)
2.544713;position;(0.2, 0.1, 0.3);(-0.1, 0.3, 0.2)
2.560952;position;(0.2, 0.1, 0.3);(-0.1, 0.3, 0.2)
2.573881;position;(0.2, 0.1, 0.3);(-0.1, 0.3, 0.2)
