0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.000, 0.707, 0.000, 0.707);(0.000, 0.707, 0.000, 0.707)
0.02;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.000, 0.707, 0.000, 0.707);(0.000, 0.707, 0.000, 0.707)
0.3533334;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.000, 0.707, 0.000, 0.707);(0.000, 0.707, 0.000, 0.707)
0.482062;(-0.124, 1.094, -0.654);(-0.048, 1.041, -0.735);(0.105, 0.899, 0.248, -0.346);(-0.036, 0.854, 0.078, 0.514)
0.5199416;(-0.124, 1.094, -0.654);(-0.048, 1.041, -0.735);(0.105, 0.899, 0.248, -0.346);(-0.036, 0.854, 0.078, 0.514)
0.6325405;(0.021, 1.094, 0.295);(0.098, 1.041, 0.214);(0.106, 0.899, 0.248, -0.346);(-0.036, 0.854, 0.078, 0.514)
0.6561866;(0.021, 1.094, 0.294);(0.098, 1.040, 0.214);(0.105, 0.899, 0.247, -0.345);(-0.035, 0.854, 0.078, 0.513)
0.6959298;(0.021, 1.094, 0.294);(0.097, 1.040, 0.213);(0.105, 0.899, 0.246, -0.346);(-0.035, 0.854, 0.078, 0.513)
0.7587231;(0.021, 1.094, 0.294);(0.097, 1.040, 0.213);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.7765889;(0.022, 1.094, 0.294);(0.097, 1.040, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.814774;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.8460522;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.514)
0.8644747;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.8874999;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.9043061;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
0.9237173;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.080, 0.513)
0.9364827;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.081, 0.513)
0.9575078;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.081, 0.513)
0.9726834;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.081, 0.513)
0.9874122;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.081, 0.513)
0.999929;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.081, 0.513)
1.012889;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.081, 0.513)
1.02858;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.080, 0.513)
1.045789;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.080, 0.513)
1.061544;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.081, 0.512)
1.075525;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.035, 0.854, 0.081, 0.513)
1.090271;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.245, -0.345);(-0.034, 0.854, 0.081, 0.513)
1.104675;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.245, -0.345);(-0.034, 0.854, 0.081, 0.513)
1.117873;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.513)
1.132688;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.513)
1.148952;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.513)
1.162679;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.245, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.177537;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.192352;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.205641;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.219529;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.231464;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.248506;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.263327;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.034, 0.854, 0.082, 0.512)
1.276682;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.292841;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.306843;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.104, 0.900, 0.246, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.3186;(0.022, 1.094, 0.294);(0.097, 1.041, 0.214);(0.105, 0.900, 0.246, -0.345);(-0.033, 0.854, 0.081, 0.513)
1.330499;(0.022, 1.094, 0.295);(0.097, 1.041, 0.214);(0.105, 0.900, 0.247, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.345396;(0.022, 1.095, 0.295);(0.097, 1.041, 0.214);(0.105, 0.899, 0.247, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.36167;(0.021, 1.094, 0.295);(0.097, 1.041, 0.214);(0.105, 0.899, 0.248, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.374878;(0.021, 1.094, 0.294);(0.097, 1.041, 0.214);(0.104, 0.899, 0.247, -0.345);(-0.033, 0.854, 0.082, 0.513)
1.388659;(0.021, 1.094, 0.294);(0.097, 1.041, 0.213);(0.104, 0.900, 0.247, -0.345);(-0.033, 0.854, 0.082, 0.512)
1.402556;(0.021, 1.094, 0.294);(0.097, 1.041, 0.213);(0.104, 0.900, 0.247, -0.345);(-0.034, 0.855, 0.082, 0.512)
