0;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.02;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.3533334;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.4612952;(-0.377, -0.834, -0.523);(-0.128, -0.809, -0.460);(0.979, 0.117, -0.044, -0.162);(-0.519, 0.774, 0.057, 0.357)
0.493883;(-0.375, -0.836, -0.524);(-0.123, -0.807, -0.451);(0.979, 0.059, -0.044, -0.192);(-0.482, 0.771, 0.095, 0.407)
0.5134379;(-0.379, -0.836, -0.522);(-0.123, -0.806, -0.453);(0.975, 0.014, -0.073, -0.209);(-0.475, 0.779, 0.107, 0.396)
0.61036;(-0.080, -0.406, 0.234);(0.174, -0.376, 0.297);(-0.973, 0.002, 0.071, 0.218);(-0.441, 0.810, 0.136, 0.362)
0.6273066;(-0.074, -0.402, 0.237);(0.169, -0.377, 0.292);(-0.973, 0.022, 0.063, 0.223);(-0.403, 0.838, 0.162, 0.329)
0.680636;(-0.055, -0.395, 0.241);(0.148, -0.362, 0.296);(-0.952, 0.043, -0.003, 0.302);(-0.399, 0.846, 0.142, 0.323)
0.7307519;(-0.043, -0.405, 0.227);(0.121, -0.329, 0.308);(-0.969, 0.030, -0.005, 0.246);(-0.378, 0.814, 0.256, 0.359)
0.7655928;(-0.036, -0.413, 0.222);(0.108, -0.318, 0.318);(0.985, 0.009, 0.008, -0.172);(-0.359, 0.791, 0.317, 0.380)
0.7892404;(-0.027, -0.415, 0.219);(0.096, -0.307, 0.317);(0.984, 0.029, 0.031, -0.175);(-0.346, 0.776, 0.366, 0.379)
0.8115993;(-0.023, -0.416, 0.213);(0.092, -0.304, 0.314);(0.982, 0.047, 0.040, -0.179);(-0.365, 0.770, 0.366, 0.374)
0.8349965;(-0.015, -0.423, 0.209);(0.086, -0.302, 0.314);(0.987, 0.083, 0.041, -0.132);(-0.356, 0.766, 0.382, 0.376)
0.85919;(-0.007, -0.428, 0.208);(0.081, -0.300, 0.313);(0.990, 0.102, 0.043, -0.085);(-0.346, 0.765, 0.391, 0.376)
0.8773543;(-0.003, -0.428, 0.208);(0.078, -0.299, 0.313);(0.990, 0.106, 0.048, -0.077);(-0.351, 0.765, 0.387, 0.377)
0.8902584;(0.002, -0.426, 0.207);(0.074, -0.297, 0.313);(0.989, 0.114, 0.054, -0.076);(-0.352, 0.767, 0.385, 0.373)
0.9026982;(0.006, -0.424, 0.206);(0.069, -0.294, 0.315);(0.987, 0.126, 0.059, -0.084);(-0.354, 0.762, 0.396, 0.371)
0.9177583;(0.010, -0.424, 0.206);(0.065, -0.293, 0.317);(0.984, 0.140, 0.057, -0.097);(-0.357, 0.754, 0.413, 0.365)
0.9322193;(0.021, -0.420, 0.205);(0.058, -0.294, 0.319);(0.981, 0.143, 0.071, -0.108);(-0.363, 0.749, 0.425, 0.356)
0.9449821;(0.025, -0.419, 0.206);(0.056, -0.293, 0.319);(0.980, 0.129, 0.086, -0.128);(-0.378, 0.744, 0.421, 0.355)
0.9579092;(0.027, -0.416, 0.207);(0.053, -0.293, 0.317);(0.978, 0.121, 0.092, -0.144);(-0.393, 0.740, 0.416, 0.353)
0.9700162;(0.026, -0.415, 0.206);(0.052, -0.294, 0.317);(0.978, 0.109, 0.091, -0.155);(-0.395, 0.744, 0.418, 0.341)
0.9814854;(0.015, -0.416, 0.194);(0.053, -0.295, 0.318);(0.987, 0.068, -0.012, -0.148);(-0.399, 0.744, 0.417, 0.337)
0.9932655;(0.024, -0.420, 0.200);(0.051, -0.294, 0.317);(0.987, 0.039, 0.008, -0.156);(-0.407, 0.740, 0.415, 0.339)
1.00537;(0.026, -0.422, 0.199);(0.053, -0.294, 0.315);(0.989, 0.042, 0.015, -0.143);(-0.402, 0.747, 0.417, 0.327)
1.018394;(0.027, -0.424, 0.197);(0.053, -0.295, 0.315);(0.991, 0.047, 0.015, -0.127);(-0.401, 0.749, 0.415, 0.324)
1.030679;(0.031, -0.426, 0.196);(0.052, -0.296, 0.313);(0.992, 0.036, 0.023, -0.117);(-0.405, 0.751, 0.410, 0.322)
1.043237;(0.035, -0.428, 0.195);(0.052, -0.301, 0.309);(0.993, 0.010, 0.028, -0.111);(-0.411, 0.757, 0.397, 0.316)
1.054885;(0.039, -0.430, 0.196);(0.053, -0.304, 0.306);(-0.994, 0.030, -0.027, 0.106);(-0.423, 0.761, 0.379, 0.313)
1.06889;(0.039, -0.429, 0.197);(0.054, -0.306, 0.304);(-0.992, 0.072, -0.022, 0.102);(-0.437, 0.761, 0.362, 0.315)
1.082286;(0.036, -0.423, 0.198);(0.058, -0.310, 0.301);(-0.990, 0.090, -0.015, 0.111);(-0.446, 0.760, 0.350, 0.319)
1.093542;(0.034, -0.419, 0.199);(0.061, -0.311, 0.299);(-0.988, 0.093, -0.010, 0.126);(-0.446, 0.761, 0.343, 0.322)
1.107554;(0.036, -0.415, 0.198);(0.062, -0.313, 0.300);(-0.987, 0.067, -0.007, 0.145);(-0.448, 0.757, 0.344, 0.329)
1.123198;(0.039, -0.414, 0.199);(0.063, -0.316, 0.300);(-0.987, 0.047, -0.011, 0.153);(-0.454, 0.749, 0.345, 0.338)
1.137632;(0.041, -0.416, 0.199);(0.063, -0.318, 0.300);(-0.988, 0.041, -0.011, 0.151);(-0.459, 0.745, 0.343, 0.343)
1.150398;(0.042, -0.420, 0.199);(0.064, -0.319, 0.301);(-0.988, 0.053, -0.009, 0.145);(-0.462, 0.743, 0.343, 0.343)
1.162729;(0.044, -0.422, 0.198);(0.063, -0.320, 0.302);(-0.987, 0.074, -0.012, 0.141);(-0.464, 0.740, 0.348, 0.342)
1.17337;(0.047, -0.424, 0.198);(0.063, -0.321, 0.303);(-0.986, 0.086, -0.016, 0.143);(-0.465, 0.737, 0.355, 0.338)
1.184006;(0.048, -0.424, 0.198);(0.063, -0.324, 0.302);(-0.985, 0.089, -0.016, 0.148);(-0.466, 0.738, 0.358, 0.331)
1.195368;(0.051, -0.426, 0.198);(0.063, -0.326, 0.299);(-0.984, 0.089, -0.017, 0.152);(-0.471, 0.741, 0.354, 0.321)
1.208364;(0.055, -0.428, 0.200);(0.061, -0.329, 0.296);(-0.984, 0.090, -0.021, 0.153);(-0.481, 0.744, 0.345, 0.311)
1.220785;(0.060, -0.432, 0.202);(0.061, -0.332, 0.295);(-0.984, 0.094, -0.031, 0.149);(-0.487, 0.746, 0.338, 0.304)
1.231744;(0.064, -0.435, 0.205);(0.061, -0.333, 0.295);(-0.984, 0.097, -0.046, 0.143);(-0.490, 0.747, 0.336, 0.301)
1.242821;(0.069, -0.438, 0.206);(0.060, -0.334, 0.296);(-0.985, 0.093, -0.061, 0.134);(-0.488, 0.745, 0.339, 0.303)
1.25517;(0.073, -0.441, 0.207);(0.059, -0.335, 0.297);(-0.986, 0.087, -0.074, 0.124);(-0.486, 0.744, 0.343, 0.304)
1.26823;(0.076, -0.444, 0.209);(0.058, -0.336, 0.296);(-0.986, 0.088, -0.081, 0.117);(-0.485, 0.747, 0.342, 0.300)
1.281958;(0.079, -0.446, 0.211);(0.057, -0.339, 0.295);(-0.985, 0.095, -0.085, 0.116);(-0.486, 0.750, 0.339, 0.293)
1.29678;(0.079, -0.446, 0.211);(0.057, -0.341, 0.293);(-0.982, 0.121, -0.077, 0.126);(-0.486, 0.756, 0.333, 0.284)
1.309761;(0.076, -0.441, 0.209);(0.054, -0.347, 0.284);(-0.966, 0.188, -0.031, 0.173);(-0.498, 0.769, 0.312, 0.252)
