0;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.02;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.3533334;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.4797877;(-0.186, -0.943, -0.441);(-0.242, -0.971, -0.467);(-0.315, 0.747, 0.275, -0.516);(0.240, 0.901, -0.009, 0.360)
0.5199797;(-0.185, -0.940, -0.440);(-0.243, -0.970, -0.468);(-0.295, 0.752, 0.275, -0.521);(0.236, 0.905, -0.013, 0.355)
0.6405745;(0.036, -0.528, 0.446);(-0.024, -0.561, 0.416);(-0.279, 0.756, 0.272, -0.526);(0.229, 0.908, -0.020, 0.350)
0.6658803;(0.043, -0.505, 0.429);(-0.037, -0.558, 0.404);(-0.191, 0.822, 0.275, -0.461);(0.157, 0.930, -0.061, 0.326)
0.7020445;(0.053, -0.479, 0.404);(-0.046, -0.545, 0.384);(-0.062, 0.903, 0.177, -0.386);(-0.029, 0.931, -0.135, 0.337)
0.7502909;(0.057, -0.474, 0.394);(-0.051, -0.535, 0.376);(0.041, 0.921, 0.130, -0.366);(-0.167, 0.926, -0.133, 0.310)
0.7868412;(0.060, -0.475, 0.385);(-0.054, -0.530, 0.372);(0.141, 0.924, 0.088, -0.345);(-0.248, 0.909, -0.136, 0.305)
0.8118792;(0.062, -0.475, 0.380);(-0.055, -0.526, 0.369);(0.212, 0.916, 0.071, -0.332);(-0.273, 0.906, -0.117, 0.303)
0.8358914;(0.064, -0.477, 0.376);(-0.058, -0.530, 0.363);(0.268, 0.907, 0.061, -0.319);(-0.252, 0.922, -0.109, 0.272)
0.8603472;(0.066, -0.476, 0.375);(-0.057, -0.530, 0.365);(0.290, 0.902, 0.067, -0.314);(-0.214, 0.929, -0.099, 0.285)
0.8744593;(0.068, -0.475, 0.373);(-0.056, -0.531, 0.364);(0.342, 0.889, 0.068, -0.298);(-0.187, 0.936, -0.091, 0.283)
0.8978558;(0.066, -0.474, 0.373);(-0.055, -0.530, 0.365);(0.338, 0.888, 0.087, -0.298);(-0.185, 0.933, -0.092, 0.296)
0.9106857;(0.063, -0.475, 0.372);(-0.054, -0.531, 0.364);(0.338, 0.888, 0.107, -0.293);(-0.170, 0.934, -0.088, 0.301)
0.9250844;(0.062, -0.474, 0.373);(-0.054, -0.532, 0.363);(0.316, 0.892, 0.130, -0.297);(-0.161, 0.937, -0.084, 0.298)
0.9378693;(0.061, -0.473, 0.374);(-0.053, -0.532, 0.363);(0.291, 0.895, 0.155, -0.300);(-0.156, 0.940, -0.082, 0.293)
0.9527059;(0.058, -0.473, 0.375);(-0.053, -0.532, 0.363);(0.249, 0.907, 0.175, -0.290);(-0.153, 0.942, -0.082, 0.288)
0.9675148;(0.056, -0.475, 0.372);(-0.053, -0.533, 0.363);(0.215, 0.925, 0.170, -0.263);(-0.149, 0.944, -0.083, 0.283)
0.9801443;(0.055, -0.479, 0.370);(-0.053, -0.534, 0.363);(0.196, 0.935, 0.157, -0.252);(-0.145, 0.945, -0.085, 0.282)
0.992018;(0.053, -0.479, 0.372);(-0.052, -0.534, 0.364);(0.186, 0.936, 0.154, -0.258);(-0.143, 0.944, -0.088, 0.284)
1.005337;(0.051, -0.478, 0.373);(-0.051, -0.535, 0.364);(0.181, 0.934, 0.152, -0.268);(-0.140, 0.943, -0.090, 0.289)
1.020025;(0.048, -0.479, 0.374);(-0.050, -0.537, 0.364);(0.185, 0.931, 0.149, -0.278);(-0.138, 0.940, -0.092, 0.298)
1.03249;(0.046, -0.478, 0.375);(-0.049, -0.538, 0.364);(0.204, 0.923, 0.147, -0.293);(-0.137, 0.938, -0.094, 0.304)
1.046668;(0.043, -0.478, 0.378);(-0.048, -0.540, 0.363);(0.213, 0.916, 0.148, -0.306);(-0.131, 0.938, -0.091, 0.309)
1.0604;(0.042, -0.478, 0.380);(-0.048, -0.541, 0.361);(0.231, 0.906, 0.154, -0.319);(-0.121, 0.940, -0.082, 0.309)
1.07301;(0.041, -0.477, 0.382);(-0.048, -0.543, 0.362);(0.247, 0.897, 0.160, -0.331);(-0.113, 0.942, -0.073, 0.308)
1.086492;(0.040, -0.477, 0.384);(-0.047, -0.543, 0.362);(0.264, 0.887, 0.164, -0.342);(-0.104, 0.943, -0.063, 0.308)
1.098238;(0.040, -0.475, 0.385);(-0.047, -0.544, 0.362);(0.285, 0.873, 0.169, -0.357);(-0.097, 0.944, -0.060, 0.311)
1.110995;(0.040, -0.473, 0.387);(-0.046, -0.545, 0.362);(0.301, 0.861, 0.179, -0.370);(-0.090, 0.943, -0.059, 0.316)
1.123335;(0.040, -0.472, 0.388);(-0.046, -0.546, 0.361);(0.311, 0.851, 0.193, -0.377);(-0.084, 0.943, -0.055, 0.317)
1.136997;(0.041, -0.472, 0.388);(-0.046, -0.547, 0.360);(0.316, 0.847, 0.202, -0.378);(-0.081, 0.945, -0.054, 0.313)
1.149074;(0.041, -0.474, 0.386);(-0.047, -0.547, 0.359);(0.311, 0.850, 0.203, -0.373);(-0.083, 0.946, -0.055, 0.307)
1.161316;(0.040, -0.476, 0.383);(-0.047, -0.547, 0.359);(0.302, 0.860, 0.198, -0.362);(-0.091, 0.946, -0.059, 0.305)
1.175532;(0.041, -0.478, 0.380);(-0.048, -0.548, 0.359);(0.296, 0.867, 0.191, -0.352);(-0.101, 0.945, -0.065, 0.304)
1.187916;(0.042, -0.479, 0.378);(-0.048, -0.548, 0.359);(0.296, 0.872, 0.181, -0.345);(-0.108, 0.944, -0.070, 0.303)
1.200105;(0.043, -0.480, 0.377);(-0.048, -0.548, 0.358);(0.304, 0.873, 0.170, -0.342);(-0.113, 0.944, -0.072, 0.301)
1.210772;(0.043, -0.482, 0.377);(-0.049, -0.547, 0.357);(0.315, 0.870, 0.158, -0.345);(-0.117, 0.945, -0.071, 0.296)
1.225794;(0.038, -0.485, 0.380);(-0.049, -0.547, 0.357);(0.323, 0.861, 0.135, -0.370);(-0.118, 0.946, -0.068, 0.294)
1.240195;(0.036, -0.485, 0.382);(-0.049, -0.547, 0.357);(0.319, 0.855, 0.121, -0.391);(-0.118, 0.947, -0.066, 0.293)
1.252424;(0.036, -0.486, 0.381);(-0.049, -0.547, 0.357);(0.311, 0.857, 0.120, -0.394);(-0.115, 0.947, -0.064, 0.292)
1.267283;(0.035, -0.484, 0.381);(-0.049, -0.547, 0.357);(0.305, 0.862, 0.126, -0.384);(-0.112, 0.948, -0.063, 0.292)
1.279723;(0.035, -0.480, 0.384);(-0.050, -0.548, 0.357);(0.299, 0.859, 0.141, -0.390);(-0.112, 0.947, -0.064, 0.293)
1.29632;(0.035, -0.477, 0.387);(-0.050, -0.548, 0.357);(0.295, 0.856, 0.155, -0.394);(-0.113, 0.947, -0.065, 0.294)
1.31247;(0.036, -0.474, 0.387);(-0.050, -0.548, 0.357);(0.295, 0.852, 0.171, -0.398);(-0.114, 0.947, -0.067, 0.294)
1.327628;(0.036, -0.472, 0.387);(-0.050, -0.547, 0.357);(0.298, 0.849, 0.180, -0.397);(-0.116, 0.947, -0.066, 0.292)
1.343509;(0.036, -0.471, 0.387);(-0.050, -0.547, 0.356);(0.305, 0.849, 0.175, -0.395);(-0.118, 0.947, -0.065, 0.291)
1.356058;(0.037, -0.470, 0.388);(-0.050, -0.547, 0.356);(0.311, 0.847, 0.176, -0.395);(-0.120, 0.947, -0.064, 0.290)
1.368348;(0.038, -0.469, 0.388);(-0.050, -0.547, 0.357);(0.317, 0.845, 0.180, -0.390);(-0.119, 0.947, -0.063, 0.291)
