0;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.02;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.3533334;(0.000, -1.600, 0.000);(0.000, -1.600, 0.000);(0.000, 1.000, 0.000, 0.000);(0.000, 1.000, 0.000, 0.000)
0.518518;(-0.736, -0.458, -0.052);(-0.756, -0.473, 0.293);(0.604, 0.438, -0.090, -0.660);(0.002, 0.623, 0.430, -0.653)
0.5605593;(-0.260, -0.402, 0.347);(-0.280, -0.417, 0.692);(0.604, 0.438, -0.091, -0.660);(0.002, 0.623, 0.430, -0.654)
0.6623719;(-0.260, -0.402, 0.347);(-0.280, -0.417, 0.691);(0.603, 0.438, -0.091, -0.660);(0.002, 0.623, 0.430, -0.654)
0.7073674;(-0.260, -0.402, 0.347);(-0.280, -0.417, 0.692);(0.602, 0.439, -0.092, -0.660);(0.001, 0.623, 0.429, -0.654)
0.7374126;(-0.260, -0.402, 0.347);(-0.280, -0.417, 0.691);(0.602, 0.439, -0.091, -0.661);(0.001, 0.623, 0.430, -0.653)
0.7962558;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.691);(0.603, 0.438, -0.090, -0.661);(0.001, 0.623, 0.430, -0.653)
0.8452119;(-0.260, -0.402, 0.347);(-0.281, -0.417, 0.691);(0.603, 0.439, -0.091, -0.660);(0.001, 0.624, 0.430, -0.653)
0.8693621;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.602, 0.439, -0.091, -0.660);(0.001, 0.624, 0.429, -0.652)
0.8882945;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.603, 0.439, -0.090, -0.660);(0.001, 0.624, 0.430, -0.652)
0.9109089;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.603, 0.438, -0.090, -0.661);(0.000, 0.624, 0.430, -0.652)
0.9367402;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.603, 0.438, -0.090, -0.660);(0.001, 0.624, 0.430, -0.653)
0.9624394;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.603, 0.439, -0.091, -0.660);(0.001, 0.624, 0.430, -0.652)
0.9883955;(-0.259, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.604, 0.438, -0.090, -0.660);(0.001, 0.625, 0.429, -0.652)
1.012874;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.604, 0.438, -0.090, -0.660);(0.000, 0.624, 0.429, -0.653)
1.03879;(-0.260, -0.401, 0.347);(-0.281, -0.417, 0.690);(0.603, 0.439, -0.090, -0.660);(0.000, 0.624, 0.429, -0.653)
1.063031;(-0.260, -0.401, 0.347);(-0.280, -0.417, 0.690);(0.602, 0.439, -0.090, -0.661);(0.000, 0.624, 0.429, -0.653)
1.088278;(-0.260, -0.401, 0.347);(-0.280, -0.418, 0.690);(0.602, 0.439, -0.091, -0.661);(0.001, 0.625, 0.428, -0.653)
1.114151;(-0.260, -0.401, 0.347);(-0.280, -0.418, 0.690);(0.603, 0.439, -0.090, -0.660);(0.001, 0.625, 0.428, -0.653)
1.138564;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.090, -0.660);(0.000, 0.624, 0.429, -0.653)
1.164894;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.091, -0.660);(0.001, 0.624, 0.429, -0.653)
1.189382;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.091, -0.660);(0.001, 0.624, 0.429, -0.654)
1.214365;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.091, -0.660);(0.001, 0.624, 0.429, -0.653)
1.239751;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.090, -0.660);(0.001, 0.624, 0.429, -0.653)
1.264649;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.603, 0.439, -0.090, -0.660);(0.002, 0.624, 0.428, -0.654)
1.289851;(-0.260, -0.402, 0.347);(-0.280, -0.418, 0.691);(0.602, 0.440, -0.091, -0.660);(0.001, 0.624, 0.428, -0.654)
1.315585;(-0.260, -0.402, 0.348);(-0.279, -0.418, 0.691);(0.602, 0.440, -0.090, -0.661);(0.001, 0.624, 0.428, -0.654)
1.341995;(-0.260, -0.402, 0.348);(-0.279, -0.418, 0.691);(0.600, 0.440, -0.091, -0.662);(0.002, 0.624, 0.427, -0.654)
1.366194;(-0.261, -0.402, 0.349);(-0.279, -0.418, 0.691);(0.596, 0.441, -0.090, -0.665);(0.002, 0.625, 0.427, -0.654)
1.391327;(-0.261, -0.402, 0.350);(-0.278, -0.417, 0.690);(0.593, 0.442, -0.089, -0.668);(0.002, 0.625, 0.426, -0.654)
1.416301;(-0.261, -0.402, 0.351);(-0.277, -0.417, 0.690);(0.590, 0.442, -0.089, -0.669);(0.003, 0.625, 0.425, -0.654)
1.441799;(-0.261, -0.402, 0.352);(-0.277, -0.416, 0.690);(0.587, 0.443, -0.086, -0.672);(0.005, 0.626, 0.425, -0.654)
1.46833;(-0.262, -0.402, 0.354);(-0.276, -0.415, 0.690);(0.581, 0.445, -0.085, -0.676);(0.007, 0.627, 0.423, -0.654)
1.491101;(-0.262, -0.402, 0.355);(-0.275, -0.415, 0.690);(0.576, 0.447, -0.085, -0.679);(0.007, 0.628, 0.422, -0.654)
1.517419;(-0.264, -0.402, 0.356);(-0.274, -0.413, 0.691);(0.571, 0.447, -0.090, -0.683);(0.009, 0.627, 0.421, -0.655)
1.541299;(-0.264, -0.403, 0.358);(-0.273, -0.412, 0.691);(0.566, 0.447, -0.095, -0.687);(0.010, 0.626, 0.422, -0.655)
1.565883;(-0.264, -0.402, 0.359);(-0.272, -0.410, 0.691);(0.561, 0.448, -0.093, -0.690);(0.012, 0.627, 0.422, -0.655)
1.590973;(-0.263, -0.401, 0.360);(-0.271, -0.409, 0.691);(0.559, 0.443, -0.090, -0.695);(0.014, 0.628, 0.420, -0.655)
1.618156;(-0.263, -0.400, 0.360);(-0.271, -0.408, 0.691);(0.562, 0.438, -0.089, -0.696);(0.016, 0.628, 0.419, -0.656)
1.642549;(-0.263, -0.399, 0.359);(-0.270, -0.407, 0.690);(0.567, 0.435, -0.088, -0.694);(0.016, 0.629, 0.418, -0.656)
1.668257;(-0.263, -0.398, 0.359);(-0.269, -0.406, 0.690);(0.569, 0.434, -0.087, -0.693);(0.017, 0.630, 0.417, -0.655)
1.692593;(-0.263, -0.398, 0.358);(-0.268, -0.404, 0.689);(0.571, 0.433, -0.084, -0.693);(0.020, 0.631, 0.415, -0.655)
1.716915;(-0.263, -0.397, 0.358);(-0.267, -0.403, 0.687);(0.574, 0.428, -0.088, -0.692);(0.023, 0.633, 0.413, -0.654)
1.742731;(-0.264, -0.398, 0.357);(-0.266, -0.401, 0.686);(0.576, 0.431, -0.089, -0.689);(0.026, 0.635, 0.411, -0.654)
1.767597;(-0.265, -0.398, 0.357);(-0.265, -0.400, 0.685);(0.575, 0.436, -0.088, -0.687);(0.028, 0.636, 0.410, -0.653)
1.792465;(-0.268, -0.400, 0.357);(-0.264, -0.398, 0.684);(0.570, 0.442, -0.093, -0.687);(0.030, 0.637, 0.410, -0.652)
1.817164;(-0.270, -0.401, 0.357);(-0.262, -0.397, 0.682);(0.563, 0.450, -0.097, -0.686);(0.032, 0.639, 0.410, -0.650)
1.8426;(-0.270, -0.401, 0.356);(-0.261, -0.396, 0.681);(0.563, 0.452, -0.096, -0.685);(0.035, 0.640, 0.409, -0.650)
