0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.02;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.3533334;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4001513;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4156003;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4234746;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4306758;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4401166;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4472958;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4551286;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4621526;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4706948;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4785431;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4860883;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4932171;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.4993418;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.508835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0.5167434;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5254217;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5335793;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5410492;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5480024;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5574481;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5648755;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5727289;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5800536;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5882273;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.5946897;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6017925;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6108347;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6174352;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6239442;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.631815;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6393862;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6457523;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6530464;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.659632;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6662583;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6734731;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6816998;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.6893873;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.69596;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7036667;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.711045;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7184554;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7256727;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7330061;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7407066;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7469863;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7538018;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7602558;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7674587;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7737153;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7798609;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.788483;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.7951846;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8021908;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8111619;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8185557;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8253108;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8331918;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8465427;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8543712;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8609961;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8689982;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8758646;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8831722;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8904966;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.8982586;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.905775;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.913811;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.9220458;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.930636;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.9400328;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.9474778;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
0.9543825;(0.0, 0.0, 0.5);(0.0, 0.0, 0.5)
